[I 2024-12-03 05:05:57,699] Using an existing study with name 'SST-2-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:04,410] Trial 137 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5973736469945329, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41946052633916214, 'global_pooling': 'max', 'learning_rate': 0.0012420954341620801, 'weight_decay': 6.278651230241999e-05, 'beta_0': 0.8342667813506597, 'beta_1': 0.9897271852962058, 'epsilon': 2.0944852661910325e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 11:58:48,884] Trial 214 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7011956074153539, 'batch_size': 134, 'attention_heads': 12, 'hidden_dimension': 57, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5147362263220309, 'global_pooling': 'max', 'learning_rate': 0.002565915820090181, 'weight_decay': 8.667690732513417e-05, 'beta_0': 0.8729635563139702, 'beta_1': 0.9892919173870219, 'epsilon': 1.121132780138593e-08, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:05:49,317] Trial 215 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6565304282675465, 'batch_size': 140, 'attention_heads': 13, 'hidden_dimension': 166, 'number_of_hidden_layers': 4, 'dropout_rate': 0.46602836355118993, 'global_pooling': 'max', 'learning_rate': 0.0015143041854996568, 'weight_decay': 0.0001001698866904663, 'beta_0': 0.887337980289185, 'beta_1': 0.9857979295208301, 'epsilon': 2.007034406663767e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:11:55,379] Trial 216 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6661237392948457, 'batch_size': 86, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 4, 'dropout_rate': 0.43451172216974787, 'global_pooling': 'max', 'learning_rate': 0.0005900520484389679, 'weight_decay': 0.00015088383792499167, 'beta_0': 0.8427793419562208, 'beta_1': 0.9875774078885037, 'epsilon': 1.1309298804397942e-05, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:15:52,953] Trial 217 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.63781162336777, 'batch_size': 235, 'attention_heads': 12, 'hidden_dimension': 37, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4899480445843255, 'global_pooling': 'max', 'learning_rate': 0.0019253936267658, 'weight_decay': 4.520997159641641e-05, 'beta_0': 0.8446139329308586, 'beta_1': 0.9930486679753051, 'epsilon': 1.425623703585231e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:21:35,969] Trial 218 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6859344866398626, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 106, 'number_of_hidden_layers': 3, 'dropout_rate': 0.449815897787725, 'global_pooling': 'max', 'learning_rate': 0.0008240012933593484, 'weight_decay': 0.0002403798096650446, 'beta_0': 0.8467234070137292, 'beta_1': 0.9909933943953628, 'epsilon': 7.664048851145362e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:31:12,774] Trial 219 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.64675996100206, 'batch_size': 122, 'attention_heads': 13, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.47345490374090543, 'global_pooling': 'max', 'learning_rate': 0.0009985529912869037, 'weight_decay': 7.662205638654273e-05, 'beta_0': 0.8401782803392178, 'beta_1': 0.9901942046950413, 'epsilon': 3.4492544229830654e-06, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:37:48,655] Trial 220 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6116223408020981, 'batch_size': 117, 'attention_heads': 12, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5025014136926769, 'global_pooling': 'max', 'learning_rate': 0.001314273200675096, 'weight_decay': 0.00017322841799710643, 'beta_0': 0.836889309382754, 'beta_1': 0.9870973035553151, 'epsilon': 1.8522423436555346e-08, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:42:35,207] Trial 221 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6330517668934128, 'batch_size': 130, 'attention_heads': 11, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44323705954535264, 'global_pooling': 'max', 'learning_rate': 0.0038710675483185205, 'weight_decay': 0.00012299830577530355, 'beta_0': 0.8997003539610658, 'beta_1': 0.9861505352520298, 'epsilon': 2.521442118470716e-06, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:46:39,241] Trial 222 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6130515966590147, 'batch_size': 105, 'attention_heads': 13, 'hidden_dimension': 35, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45782218943243536, 'global_pooling': 'max', 'learning_rate': 0.0010094663967974244, 'weight_decay': 0.0001364040105302302, 'beta_0': 0.8388981027622084, 'beta_1': 0.9898212847663492, 'epsilon': 2.1480160654384757e-06, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:50:49,732] Trial 223 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6275937123315194, 'batch_size': 101, 'attention_heads': 13, 'hidden_dimension': 33, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4528259615098141, 'global_pooling': 'max', 'learning_rate': 0.0007175164636279168, 'weight_decay': 0.0001383496776551352, 'beta_0': 0.8408923951847903, 'beta_1': 0.9893975831523438, 'epsilon': 2.766040952463049e-06, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:54:57,253] Trial 224 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6618199155733667, 'batch_size': 99, 'attention_heads': 13, 'hidden_dimension': 39, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46077764851389297, 'global_pooling': 'max', 'learning_rate': 0.0023067598011646227, 'weight_decay': 0.0001059491197717765, 'beta_0': 0.8422111248699948, 'beta_1': 0.9896083608323454, 'epsilon': 2.4241233801042307e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 12:59:13,178] Trial 225 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6238260650246961, 'batch_size': 111, 'attention_heads': 12, 'hidden_dimension': 43, 'number_of_hidden_layers': 3, 'dropout_rate': 0.543549496489131, 'global_pooling': 'max', 'learning_rate': 0.0016353308850377002, 'weight_decay': 9.219861614920513e-05, 'beta_0': 0.8366930673901548, 'beta_1': 0.9906324676937702, 'epsilon': 1.7874959156400568e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:05:02,139] Trial 226 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6449807646175735, 'batch_size': 46, 'attention_heads': 13, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5663085639961762, 'global_pooling': 'max', 'learning_rate': 0.001147141734407714, 'weight_decay': 6.0735370904665725e-05, 'beta_0': 0.8453414522483619, 'beta_1': 0.9888509138978051, 'epsilon': 4.4249983391134715e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:09:21,569] Trial 227 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5961332327109132, 'batch_size': 136, 'attention_heads': 12, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4517865411084107, 'global_pooling': 'max', 'learning_rate': 0.0008680693207136561, 'weight_decay': 7.092847526522866e-05, 'beta_0': 0.8398864422710827, 'beta_1': 0.9852335461307198, 'epsilon': 4.16679119029552e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:13:38,987] Trial 228 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.563730641851467, 'batch_size': 94, 'attention_heads': 14, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44064842780467783, 'global_pooling': 'max', 'learning_rate': 0.0005195771839290263, 'weight_decay': 0.0001255625334812002, 'beta_0': 0.8234637295611429, 'beta_1': 0.9899889788570019, 'epsilon': 1.5316629372926692e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:19:18,915] Trial 229 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5820480123764455, 'batch_size': 101, 'attention_heads': 11, 'hidden_dimension': 134, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48774033982617215, 'global_pooling': 'mean', 'learning_rate': 0.00535716397390497, 'weight_decay': 0.0001631886916208902, 'beta_0': 0.8349781152283694, 'beta_1': 0.9914438101464852, 'epsilon': 3.089292935692286e-06, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:23:20,912] Trial 230 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6754459039595159, 'batch_size': 60, 'attention_heads': 13, 'hidden_dimension': 37, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4685406245025929, 'global_pooling': 'max', 'learning_rate': 0.0019788985885000137, 'weight_decay': 0.00020689140813085708, 'beta_0': 0.8541629665100151, 'beta_1': 0.9823504402584553, 'epsilon': 1.245394231232653e-06, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:27:27,443] Trial 231 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6339464261380154, 'batch_size': 125, 'attention_heads': 12, 'hidden_dimension': 42, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43010268271986746, 'global_pooling': 'max', 'learning_rate': 0.0014295799226551505, 'weight_decay': 3.323786428212287e-05, 'beta_0': 0.870130242542331, 'beta_1': 0.9962044876370352, 'epsilon': 2.303946407317262e-06, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:31:36,204] Trial 232 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6058682750517179, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 58, 'number_of_hidden_layers': 3, 'dropout_rate': 0.422569558122903, 'global_pooling': 'max', 'learning_rate': 0.0012424582579015821, 'weight_decay': 6.544176150323865e-05, 'beta_0': 0.833814259903452, 'beta_1': 0.9898209639950615, 'epsilon': 2.2570014632861664e-07, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:35:44,204] Trial 233 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5960699256706237, 'batch_size': 116, 'attention_heads': 10, 'hidden_dimension': 49, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41991740526492094, 'global_pooling': 'max', 'learning_rate': 0.000977043373205639, 'weight_decay': 5.116903449287393e-05, 'beta_0': 0.8382021329599654, 'beta_1': 0.9896206566280421, 'epsilon': 4.189917655428187e-07, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:39:58,186] Trial 234 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6182524048827293, 'batch_size': 109, 'attention_heads': 11, 'hidden_dimension': 62, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41289153025702413, 'global_pooling': 'max', 'learning_rate': 0.0012598554339304218, 'weight_decay': 8.233618124639619e-05, 'beta_0': 0.8434991243694676, 'beta_1': 0.9889822364058737, 'epsilon': 1.8582100314541061e-07, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:44:06,543] Trial 235 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5854275446841256, 'batch_size': 114, 'attention_heads': 11, 'hidden_dimension': 52, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40694278040995485, 'global_pooling': 'max', 'learning_rate': 0.0016937449367173405, 'weight_decay': 9.768549838293324e-05, 'beta_0': 0.8312240587843647, 'beta_1': 0.9902060633017943, 'epsilon': 5.91935966700489e-07, 'balanced_loss': True, 'epochs': 55, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:48:16,190] Trial 236 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6051565788403908, 'batch_size': 106, 'attention_heads': 13, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4472886377438506, 'global_pooling': 'max', 'learning_rate': 0.002642720752798262, 'weight_decay': 5.792093043777541e-05, 'beta_0': 0.8609864424755432, 'beta_1': 0.9906281603986142, 'epsilon': 1.074735613608914e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 13:54:41,838] Trial 237 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6493517813934516, 'batch_size': 36, 'attention_heads': 11, 'hidden_dimension': 175, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4946012579257847, 'global_pooling': 'max', 'learning_rate': 0.0006486994778796756, 'weight_decay': 7.553291417964589e-05, 'beta_0': 0.8350342142662203, 'beta_1': 0.9989914100660804, 'epsilon': 2.0204404384637075e-06, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:01:26,204] Trial 238 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6488281523364177, 'batch_size': 36, 'attention_heads': 12, 'hidden_dimension': 177, 'number_of_hidden_layers': 3, 'dropout_rate': 0.49824890057475807, 'global_pooling': 'max', 'learning_rate': 0.0004469319070393826, 'weight_decay': 8.127117084421718e-05, 'beta_0': 0.827513799973156, 'beta_1': 0.9989890375020427, 'epsilon': 2.043013085261161e-06, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:09:27,536] Trial 239 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6582407087215073, 'batch_size': 32, 'attention_heads': 15, 'hidden_dimension': 173, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48216922221524094, 'global_pooling': 'max', 'learning_rate': 0.0006483781545875656, 'weight_decay': 0.00010888078460109823, 'beta_0': 0.8645561800558188, 'beta_1': 0.9984360132850412, 'epsilon': 1.598258226210128e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:16:45,928] Trial 240 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.636068735984088, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 4, 'dropout_rate': 0.510556375254238, 'global_pooling': 'sum', 'learning_rate': 0.0007609067824492476, 'weight_decay': 6.981464167428012e-05, 'beta_0': 0.8351658764183406, 'beta_1': 0.998351154568376, 'epsilon': 3.5732341458319173e-06, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:22:36,459] Trial 241 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6723352912823259, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 126, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4857353075575515, 'global_pooling': 'max', 'learning_rate': 0.0021771438989340013, 'weight_decay': 9.649560116064961e-05, 'beta_0': 0.8484243809397223, 'beta_1': 0.9988227746462055, 'epsilon': 1.5914220715889664e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:28:58,419] Trial 242 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6216335803515419, 'batch_size': 36, 'attention_heads': 11, 'hidden_dimension': 185, 'number_of_hidden_layers': 3, 'dropout_rate': 0.49487858289078607, 'global_pooling': 'max', 'learning_rate': 0.001078843911563821, 'weight_decay': 6.787165089965041e-05, 'beta_0': 0.8373753421831209, 'beta_1': 0.9980280631968245, 'epsilon': 2.483207380266791e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:35:01,922] Trial 243 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6533203867302352, 'batch_size': 51, 'attention_heads': 11, 'hidden_dimension': 178, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4555020341271894, 'global_pooling': 'max', 'learning_rate': 0.0008719634419461547, 'weight_decay': 5.344193919700623e-05, 'beta_0': 0.8344341370887902, 'beta_1': 0.9903225289605179, 'epsilon': 2.5918033354776205e-06, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:41:33,133] Trial 244 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6501831518791719, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 179, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45421677929118165, 'global_pooling': 'max', 'learning_rate': 0.0005987121618869997, 'weight_decay': 4.845323799110935e-05, 'beta_0': 0.8320417799578796, 'beta_1': 0.9909328031902059, 'epsilon': 2.7043678930624414e-06, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:46:56,836] Trial 245 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6599075039158907, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 149, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45836062781128706, 'global_pooling': 'max', 'learning_rate': 0.0008442135364791449, 'weight_decay': 4.36748835844088e-05, 'beta_0': 0.8359890793035032, 'beta_1': 0.9903538503973961, 'epsilon': 2.023669914430274e-06, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:51:31,724] Trial 246 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6418273392208876, 'batch_size': 46, 'attention_heads': 12, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44665140979028156, 'global_pooling': 'max', 'learning_rate': 0.0007229100831719418, 'weight_decay': 8.035722179618628e-05, 'beta_0': 0.8401490366642302, 'beta_1': 0.9865571195782343, 'epsilon': 3.147416605676018e-06, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 14:56:19,511] Trial 247 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6671870859659694, 'batch_size': 55, 'attention_heads': 10, 'hidden_dimension': 174, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5059521636673213, 'global_pooling': 'max', 'learning_rate': 0.0009235369048502707, 'weight_decay': 0.000755012899492326, 'beta_0': 0.8334411223649625, 'beta_1': 0.9989970724927381, 'epsilon': 2.34796603511345e-06, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 15:03:24,116] Trial 248 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6527906378415155, 'batch_size': 42, 'attention_heads': 12, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4762630873745476, 'global_pooling': 'max', 'learning_rate': 0.0017804153058918494, 'weight_decay': 5.880578524389726e-05, 'beta_0': 0.8512090530744538, 'beta_1': 0.9893478659264485, 'epsilon': 1.4393474138960237e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 15:07:28,331] Trial 249 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6853535826400587, 'batch_size': 125, 'attention_heads': 11, 'hidden_dimension': 168, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43996756300455936, 'global_pooling': 'max', 'learning_rate': 0.0014850459423433758, 'weight_decay': 0.00013602006157515284, 'beta_0': 0.8460851698942373, 'beta_1': 0.9976874925907679, 'epsilon': 1.7009476981630084e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 15:14:11,167] Trial 250 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6346715200664618, 'batch_size': 119, 'attention_heads': 13, 'hidden_dimension': 175, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4533016171936618, 'global_pooling': 'max', 'learning_rate': 0.0029173953780613246, 'weight_decay': 9.234742150337875e-05, 'beta_0': 0.8380123829284428, 'beta_1': 0.9903576535011478, 'epsilon': 2.555276154835673e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 141 with value: 0.9254587155963303.

[TRIAL] 141 [VALIDATION PERFORMANCE] 0.9254587155963303 [TRAINING LOSS] 0.1803383405866294 [VALIDATION LOSS] 0.22008390352129936 

number                                     141
value                                 0.925459
params_threshold                      0.662727
params_attention_heads                      12
params_balanced_loss                     False
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                          121
params_dropout_rate                   0.442588
params_early_stopping_patience              21
params_epochs                               63
params_global_pooling                      max
params_hidden_dimension                     58
params_learning_rate                  0.003539
params_number_of_hidden_layers               4
params_plateau_divider                       4
params_plateau_patience                     12
params_weight_decay                   0.000078
params_beta_0                         0.846054
params_beta_1                         0.998926
params_epsilon                        0.000002
user_attrs_epoch                           8.0
user_attrs_training_loss              0.180338
user_attrs_validation_loss            0.220084
Name: 141, dtype: object
37 Val: 0.9139908256880734 Test: 0.9165293794618341
38 Val: 0.9139908256880734 Test: 0.9121361889071938
39 Val: 0.9197247706422018 Test: 0.9115870400878638
40 Val: 0.9231651376146789 Test: 0.9198242723778144
41 Val: 0.9139908256880734 Test: 0.9258649093904449
42 Val: 0.9105504587155964 Test: 0.9170785282811642
43 Val: 0.9128440366972477 Test: 0.9209225700164745
44 Val: 0.9151376146788991 Test: 0.9209225700164745
45 Val: 0.911697247706422 Test: 0.914332784184514
46 Val: 0.9208715596330275 Test: 0.9264140582097748
Validation performance: 91.06 & 91.56 ± 0.42 & 92.32
Testing performance: 91.16 & 91.86 ± 0.52 & 92.64

