Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:00,691] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:56,016] Trial 146 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6271186508002639, 'batch_size': 205, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523201568725973, 'global_pooling': 'max', 'learning_rate': 0.0015886096861535731, 'weight_decay': 0.0005680471842307092, 'beta_0': 0.8189821496792518, 'beta_1': 0.9966650625341859, 'epsilon': 2.616372779039178e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:55:27,771] Trial 222 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6391121056817238, 'batch_size': 195, 'attention_heads': 14, 'hidden_dimension': 189, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4956717155298038, 'global_pooling': 'max', 'learning_rate': 0.0014275433430013394, 'weight_decay': 0.00016479825162646867, 'beta_0': 0.820206579384405, 'beta_1': 0.9935240676833046, 'epsilon': 6.040974715167241e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 10:59:54,019] Trial 223 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6637532893372865, 'batch_size': 115, 'attention_heads': 13, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4902108445414959, 'global_pooling': 'max', 'learning_rate': 0.002279254778547669, 'weight_decay': 0.00013898834594268494, 'beta_0': 0.8179091285629838, 'beta_1': 0.9946096748283185, 'epsilon': 9.546212321229448e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:05:19,085] Trial 224 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6504075166270601, 'batch_size': 124, 'attention_heads': 14, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4818797451268957, 'global_pooling': 'max', 'learning_rate': 0.0015986750364140286, 'weight_decay': 9.893842247870649e-05, 'beta_0': 0.8193523417615449, 'beta_1': 0.9944012340757785, 'epsilon': 4.057011413744547e-05, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:09:20,836] Trial 225 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9223122983607249, 'batch_size': 107, 'attention_heads': 13, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5015877366803398, 'global_pooling': 'max', 'learning_rate': 0.001168005576389522, 'weight_decay': 0.00010945848458202896, 'beta_0': 0.8216946971978407, 'beta_1': 0.9937135965741304, 'epsilon': 5.127860960508494e-05, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 11, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:13:29,103] Trial 226 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6321751281823671, 'batch_size': 89, 'attention_heads': 10, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.525371560859362, 'global_pooling': 'max', 'learning_rate': 0.0009298629933581223, 'weight_decay': 3.184752446220704e-05, 'beta_0': 0.8163444240827243, 'beta_1': 0.995642508593739, 'epsilon': 1.1749751003692283e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:18:01,992] Trial 227 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6428294441100845, 'batch_size': 179, 'attention_heads': 16, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4920523773005405, 'global_pooling': 'max', 'learning_rate': 0.0016887789516820174, 'weight_decay': 7.376180941839803e-05, 'beta_0': 0.8122784832117751, 'beta_1': 0.994587707233518, 'epsilon': 5.899117793389646e-06, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:22:06,113] Trial 228 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6713430623275448, 'batch_size': 184, 'attention_heads': 12, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5695194918453105, 'global_pooling': 'max', 'learning_rate': 0.0005759258396854131, 'weight_decay': 2.3294742786595853e-05, 'beta_0': 0.8177446337655659, 'beta_1': 0.9950163801256882, 'epsilon': 3.4212667662883377e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:26:49,423] Trial 229 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6634600302199853, 'batch_size': 202, 'attention_heads': 15, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5381615696075996, 'global_pooling': 'max', 'learning_rate': 0.0012811263902146948, 'weight_decay': 0.0003755273099907051, 'beta_0': 0.8144738181390782, 'beta_1': 0.9968035987759505, 'epsilon': 7.290143382500943e-05, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:30:57,578] Trial 230 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5778727015907751, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48013473799927203, 'global_pooling': 'max', 'learning_rate': 0.0008067154558545181, 'weight_decay': 2.704106806524504e-05, 'beta_0': 0.8260453822002349, 'beta_1': 0.9973797699130456, 'epsilon': 3.0383819444952503e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:35:34,244] Trial 231 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6192944891137708, 'batch_size': 164, 'attention_heads': 14, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5304626635418069, 'global_pooling': 'max', 'learning_rate': 0.001963560258078447, 'weight_decay': 5.914725419866865e-05, 'beta_0': 0.8202663199591332, 'beta_1': 0.9939134006058293, 'epsilon': 1.6663966117693157e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:39:46,484] Trial 232 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6366773722988162, 'batch_size': 193, 'attention_heads': 12, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4605265076939462, 'global_pooling': 'max', 'learning_rate': 0.0014207028225332054, 'weight_decay': 2.6105750948495626e-05, 'beta_0': 0.8090870577003534, 'beta_1': 0.9977802500953744, 'epsilon': 2.2160947882232962e-05, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:43:48,760] Trial 233 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8199592181178438, 'batch_size': 188, 'attention_heads': 12, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48586929399336237, 'global_pooling': 'max', 'learning_rate': 0.0011887586296647362, 'weight_decay': 2.0816467851749534e-05, 'beta_0': 0.8074802988236572, 'beta_1': 0.9959877487874264, 'epsilon': 2.7304084377978896e-05, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:47:53,911] Trial 234 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.652826510808155, 'batch_size': 197, 'attention_heads': 12, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47658726289801456, 'global_pooling': 'max', 'learning_rate': 0.0015010284546378087, 'weight_decay': 1.6968740947232e-05, 'beta_0': 0.8113862584269375, 'beta_1': 0.9971104283359099, 'epsilon': 3.1304013305600176e-05, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:52:01,825] Trial 235 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6280357544805372, 'batch_size': 213, 'attention_heads': 11, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47003812836247666, 'global_pooling': 'max', 'learning_rate': 0.0010005104886020384, 'weight_decay': 0.00025838145554600784, 'beta_0': 0.8066647417588587, 'beta_1': 0.9982308298373884, 'epsilon': 3.955374242191637e-05, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 11, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:55:52,651] Trial 236 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.863214003924065, 'batch_size': 193, 'attention_heads': 13, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5417102419458486, 'global_pooling': 'max', 'learning_rate': 0.002358451300848755, 'weight_decay': 0.00019901035293230137, 'beta_0': 0.810108377164032, 'beta_1': 0.9930281277411184, 'epsilon': 2.0976931121289948e-05, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 10, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 11:59:48,078] Trial 237 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6431064636170495, 'batch_size': 151, 'attention_heads': 12, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4654209711437367, 'global_pooling': 'max', 'learning_rate': 0.0018116372967975792, 'weight_decay': 3.186713509120001e-05, 'beta_0': 0.8154475098493025, 'beta_1': 0.9942700383890068, 'epsilon': 2.6065572680554517e-05, 'balanced_loss': True, 'epochs': 55, 'early_stopping_patience': 13, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:03:55,708] Trial 238 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6767954349213414, 'batch_size': 200, 'attention_heads': 12, 'hidden_dimension': 138, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5762103988123306, 'global_pooling': 'max', 'learning_rate': 0.0011614364863491962, 'weight_decay': 4.1940345193118415e-05, 'beta_0': 0.8232533192602912, 'beta_1': 0.9964208268374928, 'epsilon': 3.400110634173793e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:08:04,724] Trial 239 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6569589426441466, 'batch_size': 187, 'attention_heads': 13, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5522708690385436, 'global_pooling': 'max', 'learning_rate': 0.0014721045483735782, 'weight_decay': 2.4649418289544448e-05, 'beta_0': 0.8540550683053098, 'beta_1': 0.9950713524686934, 'epsilon': 1.7647101540584964e-05, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:12:36,908] Trial 240 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6362019992393398, 'batch_size': 208, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5007916515102013, 'global_pooling': 'max', 'learning_rate': 0.000931174272971142, 'weight_decay': 5.1186589532171284e-05, 'beta_0': 0.8136968978890567, 'beta_1': 0.996704326065986, 'epsilon': 5.7743839811756615e-05, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:17:18,779] Trial 241 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5523181233103335, 'batch_size': 209, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.501539413263226, 'global_pooling': 'max', 'learning_rate': 0.0006744738317830243, 'weight_decay': 3.849991077774336e-05, 'beta_0': 0.8127814496966889, 'beta_1': 0.9966885755669577, 'epsilon': 5.693773341216976e-05, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:21:49,458] Trial 242 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6333797746232698, 'batch_size': 204, 'attention_heads': 13, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4940207836345352, 'global_pooling': 'max', 'learning_rate': 0.000844064245881716, 'weight_decay': 5.042707321507513e-05, 'beta_0': 0.814170128555261, 'beta_1': 0.9975135099464425, 'epsilon': 4.514975104698239e-05, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:26:27,790] Trial 243 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6152572983333544, 'batch_size': 214, 'attention_heads': 13, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5088657787855406, 'global_pooling': 'max', 'learning_rate': 0.0011114635069832822, 'weight_decay': 2.885791653037662e-05, 'beta_0': 0.8174557615715, 'beta_1': 0.9968606878854759, 'epsilon': 5.242338873075917e-05, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:30:52,052] Trial 244 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6470846283468524, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4870789902137599, 'global_pooling': 'max', 'learning_rate': 0.0009572369106642348, 'weight_decay': 8.252137559506764e-05, 'beta_0': 0.8092634211648708, 'beta_1': 0.9962864121706329, 'epsilon': 2.6020121532412946e-05, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 11, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:35:20,446] Trial 245 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6246007283033149, 'batch_size': 117, 'attention_heads': 16, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4986586593075409, 'global_pooling': 'max', 'learning_rate': 0.001418693443201588, 'weight_decay': 1.9281546305912618e-05, 'beta_0': 0.8161320796825902, 'beta_1': 0.9978910576533127, 'epsilon': 3.7650076318710487e-05, 'balanced_loss': True, 'epochs': 70, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:39:43,578] Trial 246 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6392950175728039, 'batch_size': 196, 'attention_heads': 13, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5226530348329069, 'global_pooling': 'max', 'learning_rate': 0.0011443880808831128, 'weight_decay': 5.1319165925465114e-05, 'beta_0': 0.8182110085046824, 'beta_1': 0.997165414678408, 'epsilon': 7.285267861937306e-05, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:44:43,650] Trial 247 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6572510829285739, 'batch_size': 218, 'attention_heads': 12, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45481995907527006, 'global_pooling': 'max', 'learning_rate': 0.0007594059795333586, 'weight_decay': 2.1798200311197785e-05, 'beta_0': 0.8120062558959474, 'beta_1': 0.9966902879194922, 'epsilon': 3.207612282665091e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:48:55,481] Trial 248 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.665047061728373, 'batch_size': 142, 'attention_heads': 12, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5156433608268002, 'global_pooling': 'mean', 'learning_rate': 0.0017163577961096027, 'weight_decay': 4.362687629452143e-05, 'beta_0': 0.8056304903529581, 'beta_1': 0.9962286418112576, 'epsilon': 4.308251933067362e-05, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:53:08,314] Trial 249 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6496762359462193, 'batch_size': 192, 'attention_heads': 13, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4726318014656871, 'global_pooling': 'max', 'learning_rate': 0.0012834570214081964, 'weight_decay': 3.4437257224011496e-05, 'beta_0': 0.8335666626115664, 'beta_1': 0.995636282771346, 'epsilon': 2.9398445637372215e-08, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 12:57:39,205] Trial 250 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6037818900432569, 'batch_size': 184, 'attention_heads': 16, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4474594537898044, 'global_pooling': 'max', 'learning_rate': 0.0009532916865329286, 'weight_decay': 0.00044223730545399055, 'beta_0': 0.8195927859123611, 'beta_1': 0.9975528408380253, 'epsilon': 2.074603332741829e-05, 'balanced_loss': True, 'epochs': 54, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.

[TRIAL] 104 [VALIDATION PERFORMANCE] 0.926605504587156 [TRAINING LOSS] 0.12146203426851167 [VALIDATION LOSS] 0.23835764825344086 

number                                     104
value                                 0.926606
params_threshold                      0.663891
params_attention_heads                      13
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation        mean
params_batch_size                          197
params_dropout_rate                   0.525168
params_early_stopping_patience              11
params_epochs                              178
params_global_pooling                      max
params_hidden_dimension                    162
params_learning_rate                  0.001031
params_number_of_hidden_layers               1
params_plateau_divider                       9
params_plateau_patience                     23
params_weight_decay                    0.00002
params_beta_0                         0.823075
params_beta_1                         0.997793
params_epsilon                        0.000029
user_attrs_epoch                          21.0
user_attrs_training_loss              0.121462
user_attrs_validation_loss            0.238358
Name: 104, dtype: object
37 Val: 0.9185779816513762 Test: 0.9220208676551346
38 Val: 0.926605504587156 Test: 0.9242174629324547
39 Val: 0.9162844036697247 Test: 0.9203734211971444
40 Val: 0.9197247706422018 Test: 0.9220208676551346
41 Val: 0.9243119266055045 Test: 0.9275123558484349
42 Val: 0.9220183486238532 Test: 0.9209225700164745
43 Val: 0.9208715596330275 Test: 0.9231191652937946
44 Val: 0.9185779816513762 Test: 0.9203734211971444
45 Val: 0.9220183486238532 Test: 0.9214717188358045
46 Val: 0.9231651376146789 Test: 0.9247666117517848
Validation performance: 91.63 & 92.12 ± 0.31 & 92.66
Testing performance: 92.04 & 92.27 ± 0.23 & 92.75

[TRIAL] 240 [VALIDATION PERFORMANCE] 0.926605504587156 [TRAINING LOSS] 0.13899286266635447 [VALIDATION LOSS] 0.24326830804347993 

number                                     240
value                                 0.926606
params_threshold                      0.636202
params_attention_heads                      13
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation        mean
params_batch_size                          208
params_dropout_rate                   0.500792
params_early_stopping_patience              12
params_epochs                               61
params_global_pooling                      max
params_hidden_dimension                    163
params_learning_rate                  0.000931
params_number_of_hidden_layers               1
params_plateau_divider                       3
params_plateau_patience                     10
params_weight_decay                   0.000051
params_beta_0                         0.813697
params_beta_1                         0.996704
params_epsilon                        0.000058
user_attrs_epoch                          20.0
user_attrs_training_loss              0.138993
user_attrs_validation_loss            0.243268
Name: 240, dtype: object
37 Val: 0.9185779816513762 Test: 0.9247666117517848
38 Val: 0.9197247706422018 Test: 0.9231191652937946
39 Val: 0.9220183486238532 Test: 0.9214717188358045
40 Val: 0.9208715596330275 Test: 0.9324546952224053
41 Val: 0.9208715596330275 Test: 0.9220208676551346
42 Val: 0.9231651376146789 Test: 0.9253157605711148
43 Val: 0.9162844036697247 Test: 0.9258649093904449
44 Val: 0.926605504587156 Test: 0.9330038440417353
45 Val: 0.9220183486238532 Test: 0.9231191652937946
46 Val: 0.9208715596330275 Test: 0.9264140582097748
Validation performance: 91.63 & 92.11 ± 0.27 & 92.66
Testing performance: 92.15 & 92.58 ± 0.4 & 93.3

[TRIAL] 165 [VALIDATION PERFORMANCE] 0.9254587155963303 [TRAINING LOSS] 0.19354901959498724 [VALIDATION LOSS] 0.21486497223377227 

number                                     165
value                                 0.925459
params_threshold                      0.673422
params_attention_heads                      11
params_balanced_loss                      True
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          182
params_dropout_rate                   0.447668
params_early_stopping_patience              10
params_epochs                               62
params_global_pooling                      max
params_hidden_dimension                    145
params_learning_rate                  0.001257
params_number_of_hidden_layers               1
params_plateau_divider                       8
params_plateau_patience                     11
params_weight_decay                   0.000016
params_beta_0                         0.846953
params_beta_1                         0.997271
params_epsilon                        0.000022
user_attrs_epoch                          12.0
user_attrs_training_loss              0.193549
user_attrs_validation_loss            0.214865
Name: 165, dtype: object
37 Val: 0.9208715596330275 Test: 0.9275123558484349
38 Val: 0.9220183486238532 Test: 0.9247666117517848
39 Val: 0.9231651376146789 Test: 0.9225700164744646
40 Val: 0.9243119266055045 Test: 0.9231191652937946
41 Val: 0.9139908256880734 Test: 0.9280615046677649
42 Val: 0.9220183486238532 Test: 0.9297089511257551
43 Val: 0.9197247706422018 Test: 0.9236683141131247
44 Val: 0.9220183486238532 Test: 0.9231191652937946
45 Val: 0.9162844036697247 Test: 0.9253157605711148
46 Val: 0.9174311926605505 Test: 0.9264140582097748
Validation performance: 91.4 & 92.02 ± 0.33 & 92.43
Testing performance: 92.26 & 92.54 ± 0.24 & 92.97

[TRIAL] 123 [VALIDATION PERFORMANCE] 0.9254587155963303 [TRAINING LOSS] 0.1789734685793519 [VALIDATION LOSS] 0.22111582458019258 

number                                     123
value                                 0.925459
params_threshold                      0.630804
params_attention_heads                      12
params_balanced_loss                      True
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          175
params_dropout_rate                   0.569302
params_early_stopping_patience              10
params_epochs                              178
params_global_pooling                      max
params_hidden_dimension                    186
params_learning_rate                  0.000876
params_number_of_hidden_layers               1
params_plateau_divider                       8
params_plateau_patience                     13
params_weight_decay                    0.00002
params_beta_0                          0.82816
params_beta_1                         0.996213
params_epsilon                        0.000034
user_attrs_epoch                          16.0
user_attrs_training_loss              0.178973
user_attrs_validation_loss            0.221116
Name: 123, dtype: object
37 Val: 0.9220183486238532 Test: 0.928610653487095
38 Val: 0.9197247706422018 Test: 0.9280615046677649
39 Val: 0.9231651376146789 Test: 0.9225700164744646
40 Val: 0.9185779816513762 Test: 0.9258649093904449
41 Val: 0.9208715596330275 Test: 0.9209225700164745
42 Val: 0.9231651376146789 Test: 0.9264140582097748
43 Val: 0.9208715596330275 Test: 0.9302580999450851
44 Val: 0.9174311926605505 Test: 0.9275123558484349
45 Val: 0.9197247706422018 Test: 0.9214717188358045
46 Val: 0.9208715596330275 Test: 0.9231191652937946
Validation performance: 91.74 & 92.06 ± 0.19 & 92.32
Testing performance: 92.09 & 92.55 ± 0.33 & 93.03

[TRIAL] 250 [VALIDATION PERFORMANCE] 0.9254587155963303 [TRAINING LOSS] 0.14542876772190394 [VALIDATION LOSS] 0.22565375864505768 

number                                     250
value                                 0.925459
params_threshold                      0.603782
params_attention_heads                      16
params_balanced_loss                      True
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          184
params_dropout_rate                   0.447459
params_early_stopping_patience              10
params_epochs                               54
params_global_pooling                      max
params_hidden_dimension                    142
params_learning_rate                  0.000953
params_number_of_hidden_layers               1
params_plateau_divider                       8
params_plateau_patience                     22
params_weight_decay                   0.000442
params_beta_0                         0.819593
params_beta_1                         0.997553
params_epsilon                        0.000021
user_attrs_epoch                          12.0
user_attrs_training_loss              0.145429
user_attrs_validation_loss            0.225654
Name: 250, dtype: object
37 Val: 0.9208715596330275 Test: 0.9258649093904449
